Symbol     Prob.     Huffman Code
!         0.0022     01110
,         0.0022     01100
.         0.0088     10000
A         0.0088     0010
B         0.011     01111
C         0.011     10110
D         0.0132     11000
E         0.0154     0101
F         0.0154     10011
G         0.0242     10100
H         0.0264     11010
I         0.0286     10111
J         0.0308     01101
K         0.0308     10101
L         0.033     11110
M         0.033     11011
N         0.0374     0000
O         0.0418     0011
P         0.0484     11001
R         0.0505     11111
S         0.0549     0001
T         0.0549     0100
U         0.0813     11101
V         0.1077     10001
W         0.1121     10010
Y         0.1165     11100
